air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
Sankar Kumar Pal,47,,https://scholar.google.com/citations?user=E_zeLPIAAAAJ&hl=en,Software Engineer at Grab,IIT Madras,316,8708,Kolkata,"Artificial Intelligence, Automated Planning, Machine Learning, ",,,,,,,,,,,
Vinod Kumar D M,4,43.44,https://scholar.google.co.in/citations?user=V-pTYdUAAAAJ,Indian Statistical Institute,,18,48,Warangal,"Soft Computing, Image Processing, Data Mining, Pattern Recognition, Machine Intelligence",,,,,,,,,,,
TN Singh,28,12.81,https://scholar.google.com/citations?user=39fyBKoAAAAJ&hl=en,"Professor, Dept. of Electrical Engg., NIT Warangal",,204,2879,Mumbai,"Power System deregulation, Soft computing techniques, Artificial intelligence, Distribution state estimation",,,,,,,,,,,
Yegnanarayana Bayya,1,37.77,https://scholar.google.com/citations?user=YMP_vP8AAAAJ&hl=en,Indian Institute of Technology Bombay,,3,20,Hyderabad,"Rock Mechanics, Artificial Intelligence, Engineering Geology, Mining",,,,,,,,,,,
Rajeev Rastogi,40,,https://scholar.google.com/citations?user=e9YThaYAAAAJ&hl=en,IIIT-H,,148,7974,Bengaluru,"Speech, image, signal processing, Artificial neural networks",,,,,,,,,,,
Bidyut Baran Chaudhuri,35,,https://scholar.google.com/citations?user=3ggE9SkAAAAJ,"Director, Machine Learning, Amazon","University of Texas at Austin (PhD), B. Tech, IIT Bombay  ",252,5389,Kolkata,,,,,,,,,,,,
Richa Singh,25,,https://scholar.google.com/citations?user=LYNgDQ8AAAAJ&hl=en,"INAE Distinguished Professor and J. C. Bose Fellow, Indian Statistical Institute",,167,2284,New Delhi,"Computer Vision, Pattern Recognition, Digital Document Processing, OCRNLP",,,,,,,,,,,
Umapada Pal,30,34.45,https://scholar.google.com/citations?user=okqK5UAAAAAJ&hl=en,"Associate Professor, IIIT-Delhi",,261,3320,Kolkata,"BiometricsPattern Recognition, Machine Learning, Face Recognitiondeep learning, ",,,,,,,,,,,
Nikhil R. Pal,41,,https://scholar.google.com/citations?user=2_z_CogAAAAJ&hl=en,"Professor, Indian Statistical Institute, Kolkata",,206,10201,Kolkata,"OCR, Document Analysis",,,,,,,,,,,
Mayank Vatsa,25,42.4,https://scholar.google.com/citations?user=IGIvYfAAAAAJ&hl=en,"Indian Statistical Institute, Kolkata",,171,2284,New Delhi,"Pattern Recognition, Machine learning, fuzzy logic, neural networks, image processing",,,,,,,,,,,
Soumen Chakrabarti,61,33.73,https://scholar.google.com/citations?user=-DAxp-cAAAAJ&hl=en,"Associate Professor, IIIT Delhi",,445,17079,Mumbai,"biometrics, image processing, deep learning, Machine Learning, iris recognition",,,,,,,,,,,
Prateek Jain,23,,https://scholar.google.com/citations?user=LfF2zfQAAAAJ&hl=en,IIT Bombay,,61,2478,Bengaluru,"Web search, Web mining, social networks, Machine Learning, ",,,,,,,,,,,
Amit Konar,26,,https://scholar.google.com/citations?user=qYhRbJoAAAAJ&hl=en,"Researcher, Microsoft Research, Bangalore, India","PhD at the University of Texas at Austin, BTech, IIT Kanpur",394,3782,Kolkata,"Machine Learning 
",,,,,,,,,,,
Vivek Borkar,29,,https://scholar.google.com/citations?user=Km1V8WwAAAAJ&hl=en,IIT Bombay,,231,4036,Mumbai,"stochastic control, Markov decision processes, stochastic approximation",,,,,,,,,,,
Mausam,17,12.17,https://scholar.google.com/citations?user=5y4YmFcAAAAJ&hl=en,"Associate Professor, IIT Delhi",,54,1676,New Delhi,"Artificial Intelligence, Planning under Uncertainty, Information Extraction, Human Computation",,,,,,,,,,,
C. V. Jawahar,25,,https://scholar.google.com/citations?user=U9dH-DoAAAAJ&hl=en,"CVIT, IIIT Hyderabad",,256,2331,Hyderabad,computer vision,,,,,,,,,,,
Sunita Sarawagi,25,,https://scholar.google.com/citations?user=Hg4HmTAAAAAJ&hl=en,IIT Bombay,,58,3113,Mumbai,"Computer Science, Engineering, Mathematics, Decision Science",,,,,,,,,,,
Subhasis Chaudhuri,29,,https://scholar.google.com/citations?user=84VkdegAAAAJ&hl=en,IIT Bombay,,217,3853,Mumbai,"computer vision, image processing, computer science, electrical engineering, haptics",,,,,,,,,,,
