cx	cy	capitalization	earnings	employees	x	y	sector	name	alias	symbol	vintage	description
10	10	19	0	19	10	10	Analytics	Cuddle.ai		NA	2015	Offers a personal analyst that delivers relevant business insights in the form of byte-sized cards on your smartphone.
320	29.2	21	0.44	21	487.1	0	Analytics	Frrole.ai		Other	2014	Analyzes social data in real-time to provide contextual, topical, and people insights to brands, media and technology companies.
320	-48.7	17	0	17	159.1	-10.9	Analytics	Newee Analytics		NA	2014	A Platform as a Service (PaaS) provider across domains with specialization in predictive maintenance/condition based monitoring solutions for Internet of Things (IoT).
320	16.3	27	1.4	27	310.6	7	Analytics	ParallelDots		Other	2014	Provides text analysis APIs for content curation, social listening, contextual analysis, and customer support automation.
320	8	4	0	4	512.2	3.3	Analytics	Turing Analytics		NA	2015	Provides customer review analytics and visual search products.
406.4	14.3	34	3.5	34	407.9	-13.6	Chatbots	Active.ai		Other	2016	Uses artificial intelligence (AI) to deliver conversational banking services.
750.2	17.9	241	12.2	241	750.3	22.5	Chatbots	Haptik		Series B	2013	Personal-assistant app powered by an AI based chatbot platform.
224.8	-72.6	6	0	6	234.4	-21.4	Chatbots	Morph.ai		NA	2016	Helps enterprises automate customer support, sell products, and generate leads over chat.
318.1	78.1	47	2.4	47	323.1	-5.7	Chatbots	Niki.ai		Series A	2015	A chatbot that lets users search, discover, choose, make payments.
268.8	82.7	30	0	30	272.4	0	Chatbots	Senseforth.ai		NA	2012	Provides a conversation platform powered by AI that mimics human cognitive abilities.
437.5	-43.9	20	0	20	427	-2.8	Computer Vision	AIIndra		Other	2012	Provides handheld devices the ability to detect and identify people.
147.7	-24.9	5	0	5	157.9	13.4	Computer Vision	Corseco.in		Seed	2016	Provides visual search, video analytics for retail and web sector.
704.6	3.9	10	0	10	689.7	6.1	Computer Vision	Cureskin		Other	2016	An AI dermatologist on your smartphone.
302.6	-37.4	13	1	13	302.5	0	Computer Vision	HyperVerge		Seed	2014	Has developed a patent-pending technology for analysis of images and videos.
384.6	56.6	4	0	4	368.5	12.9	Computer Vision	Stomatobot		Other	2015	Uses computer vision and ML to enhance video surveillance
176.3	50.9	18	0.75	18	180	0	Development	Arya.ai		Seed	2013	Provides a platform to simplify and manage deployment of deep learning based applications.
184.2	52.8	19	6.1	19	188.9	-1.4	Development	Julia Computing		Seed	2015	The programming language that’s used in self-driving cars, precision medicine, medical diagnosis and more.
201.5	30.2	5	0.225	5	201.4	0	E-Commerce / Retail	Corseco Technologies		Seed	2016	Uses AI for visual search, video analytics for retail and web.
535.5	7.4	45	1.5	45	536.3	0	E-Commerce / Retail	Mad Street Den		Series A	2013	Provides AI solutions for the retail and e-commerce sector, with a focus on fashion.
55.5	-4.4	20	0	20	61.2	0	E-Commerce / Retail	Staqu		Seed	2015	Provides automation technologies such as visual search and recommendation, meta-tags generation, for e-commerce companies.
448.5	-37.1	10	0	10	446.4	0	E-Commerce / Retail	Thirdwatch		NA	2016	Uses big data and AI for fraud prevention in e-commerce transactions.
189.9	66.7	52	4	52	197.7	-1.4	EdTech	Embibe		Other	2012	Uses personalised analytics in test preparation.
692.1	-14.2	63	0.3	63	690	-3.9	EdTech	SP Robotic Works		Angel	2012	Provides robotics kits for students.
301.3	-70.9	12	1	12	305.5	8.1	EdTech	VideoKen		Seed	2016	A video-based social learning platform that uses big data analytics, machine learning and AI.
679	-17.4	2	0	2	690.3	6	Energy	Quenext		Other	2015	An AI lab with a focus on energy, agriculture & water management.
546.2	2.8	32	0	32	547.6	0	Energy	Zenatix		Other	2014	Uses advanced machine learning to deliver 10-30% higher energy efficiency to large commercial consumers of electricity.
302.8	69	3	0.038	3	292.7	-5.4	HealthTech	Elth.ai		Seed	2016	Made by (HCFAB Health Technologies Pvt Ltd), this chat-based personal assistant answers medical/health-related queries.
142.9	11.4	12	0	12	153.5	-6.6	HealthTech	iNICU		NA	2016	Uses IoT, artificial intelligence and predictive analytics in neonatal care.
351.9	-28.9	10	0	10	351.8	0.3	HealthTech	Predible Health		NA	2016	Building AI-powered products for cancer radiologists.
118.5	-22.5	14	0	14	116.1	0	HealthTech	Qure.ai		NA	2016	Aims to use deep learning to diagnose disease from radiology and pathology imaging, and create personalised cancer treatment plans.
740.3	-32	30	5.8	30	745.5	-0.4	HealthTech	Sigtuple		Series A	2015	Healthcare diagnostics using machine learning.
197.1	-57.9	1	2.1	1	210.1	-20.5	HealthTech	Tricog Health		Series A	2014	Offers cloud-connected ECG devices to detect heart complications.
