cx	cy	capitalization	earnings	employees	x	y	sector	name	alias	symbol	vintage	description	rating	location
10	20	59	0	59	10	20	Speech/Language Technologies	Ubona	http://www.ubona.com/	Other	2007	Provides AI solutions in the areas of speech and image recognition, content discovery, music recognition, and more.	4.5	Bengaluru
75	20	23	0	23	75	20	Robotics	Robosoft Systems	http://www.robosoftsystems.co.in	Other	2008	Makes an air duct inspection and aerial crop inspection robot.	No reviews yet	Mumbai
85	-28.8	126	8.8	126	85	-28.8	Speech/Language Technologies	Uniphore	http://www.uniphore.com	Series B	2008	Provides speech analytics, virtual assistant, and voice biometrics services.	2.2	 Chennai, Singapore
154	-14	76	4	76	154	-14	Speech/Language Technologies	Reverie Language Technologies	http://www.reverieinc.com	Series A	2009	Provides a Language-as-a-Service platform, and a multilingual keypad with support for 16 Indian languages.	3.3	Bengaluru
231	20	12	0	12	231	20	Robotics	Omnipresent Robot Tech	http://www.omnipresenttech.com	Other	2010	Builds drones built for industrial inspections, emergency response and defence, river cleaning robots, and robots for logistics.	No reviews yet	New Delhi
308	-50	398	30	398	308	-50	Robotics	Grey Orange	http://greyorange.com	Other	2011	Advanced robotics systems for automation at distribution and fulfillment centers.	3.7	Gurgaon
380	19.9	20	0	20	380	19.9	Computer Vision	AIIndra	http://www.aindra.in	Other	2012	Provides handheld devices the ability to detect and identify people.	No reviews yet	Bengaluru
350	-24	52	4	52	350	-24	EdTech	Embibe	https://www.embibe.com	Other	2012	Uses personalised analytics in test preparation.	3.7	Mumbai
400	19.987	28	0	28	400	19.987	Marketing Tech	MintM	http://www.mintm.com	Seed	2012	Offerings include AI-powered digital signage and interactive robotic kiosks, in store analytics, and person identification.	5	 Palo Alto, Bengaluru, Stuttgart
390	20.9	19	0	19	390	20.9	Robotics	Sastra Robotics	http://www.sastrarobotics.com	Other	2012	Working on robotic manipulators, tele-presence robots, robot interfacing and simulation software, prosthetic robotic arm, and more.	No reviews yet	Cochin
400	20.1	30	0	30	400	20.1	Chatbots	Senseforth.ai	http://www.senseforth.ai	NA	2012	Provides a conversation platform powered by AI that mimics human cognitive abilities.	No reviews yet	Bengaluru
375	28.9	63	0.3	63	375	28.9	EdTech	SP Robotic Works	https://sproboticworks.com/	Angel	2012	Provides robotics kits for students.	3.7	Chennai
462	-19.25	18	0.75	18	462	-19.25	Development	Arya.ai	http://arya.ai	Seed	2013	Provides a platform to simplify and manage deployment of deep learning based applications.	No reviews yet	Mumbai
510	20	15	0	15	510	20	Robotics	Bharati Robotics	http://www.brsindia.com	Other	2013	Developing robotic solutions for service, defense, industrial, and agricultural sectors.	No reviews yet	Pune
