Sector,comName,comUrl,comFounded,comLocation,comEmployee,comGlassdoorRatings,comFundAmount,comCompanyStage,Description
Speech/Language Technologies,Ubona,http://www.ubona.com/,2007,Bangalore,59,4.5,0,Other,"Provides AI solutions in the areas of speech and image recognition, content discovery, music recognition, and more."
Speech/Language Technologies,Uniphore,http://www.uniphore.com,2008," Chennai, Singapore",126,2.2,8.8,Series B,"Provides speech analytics, virtual assistant, and voice biometrics services."
Robotics,Robosoft Systems,http://www.robosoftsystems.co.in,2008,Mumbai,23,No reviews yet,0,Other,Makes an air duct inspection and aerial crop inspection robot.
Speech/Language Technologies,Reverie Language Technologies,http://www.reverieinc.com,2009,Bengaluru,76,3.3,4,Series A,"Provides a Language-as-a-Service platform, and a multilingual keypad with support for 16 Indian languages."
Robotics,Omnipresent Robot Tech,http://www.omnipresenttech.com,2010,New Delhi,12,No reviews yet,0,Other,"Builds drones built for industrial inspections, emergency response and defence, river cleaning robots, and robots for logistics."
Robotics,Grey Orange,http://greyorange.com,2011,Gurgaon,398,3.7,30,Other,Advanced robotics systems for automation at distribution and fulfillment centers.
EdTech,Embibe,https://www.embibe.com,2012,Mumbai,52,3.7,4,Other,Uses personalised analytics in test preparation.
EdTech,SP Robotic Works,https://sproboticworks.com/,2012,Chennai,63,3.7,0.3,Angel,Provides robotics kits for students.
Marketing Tech,MintM,http://www.mintm.com,2012," Palo Alto, Bangalore, Stuttgart",28,5,0,Seed,"Offerings include AI-powered digital signage and interactive robotic kiosks, in store analytics, and person identification."
Chatbots,Senseforth.ai,http://www.senseforth.ai,2012,Bangalore,30,No reviews yet,0,NA,Provides a conversation platform powered by AI that mimics human cognitive abilities.
Computer Vision,AIIndra,http://www.aindra.in,2012,Bangalore,20,No reviews yet,0,Other,Provides handheld devices the ability to detect and identify people.
Robotics,Sastra Robotics,http://www.sastrarobotics.com,2012,Cochin,19,No reviews yet,0,Other,"Working on robotic manipulators, tele-presence robots, robot interfacing and simulation software, prosthetic robotic arm, and more."
Development,Arya.ai,http://arya.ai,2013,Mumbai,18,No reviews yet,0.75,Seed,Provides a platform to simplify and manage deployment of deep learning based applications.
E-Commerce / Retail,Mad Street Den,https://www.madstreetden.com/,2013," Fremont, California & Chennai",45,4,1.5,Series A,"Provides AI solutions for the retail and e-commerce sector, with a focus on fashion."
Chatbots,Haptik,https://www.haptik.ai/,2013,Mumbai,241,3.7,12.2,Series B,Personal-assistant app powered by an AI based chatbot platform.
Robotics,Bharati Robotics,http://www.brsindia.com,2013,Pune,15,No reviews yet,0,Other,"Developing robotic solutions for service, defense, industrial, and agricultural sectors."
HealthTech,Tricog Health,https://www.tricog.com,2014,Bengaluru,1,3,2.1,Series A,Offers cloud-connected ECG devices to detect heart complications.
HR Tech,Belong.co,http://belong.co,2014,Bengaluru,129,4,15,Other,Provides a predictive outbound hiring solution.
Analytics,Newee Analytics,http://www.neewee.in/,2014,Bengaluru,17,No reviews yet,0,NA,A Platform as a Service (PaaS) provider across domains with specialization in predictive maintenance/condition based monitoring solutions for Internet of Things (IoT).
Analytics,ParallelDots,https://www.paralleldots.com,2014,Gurgaon,27,No reviews yet,1.4,Other,"Provides text analysis APIs for content curation, social listening, contextual analysis, and customer support automation."
Analytics,Frrole.ai,https://frrole.ai/,2014," Palo Alto, Bengaluru",21,No reviews yet,0.44,Other,"Analyzes social data in real-time to provide contextual, topical, and people insights to brands, media and technology companies."
Computer Vision,HyperVerge,http://www.hyperverge.co,2014,Chennai,13,No reviews yet,1,Seed,Has developed a patent-pending technology for analysis of images and videos.
Energy,Zenatix,http://www.zenatix.com,2014,Gurgaon,32,No reviews yet,0,Other,Uses advanced machine learning to deliver 10-30% higher energy efficiency to large commercial consumers of electricity.
Robotics,Emotix,https://www.emotix.in/,2014,Mumbai,27,No reviews yet,0,Other,"Makers of Miko, India’s first companion robot."
Robotics,Vanora Robots,http://www.vanorarobots.com,2014,Mangalore,6,No reviews yet,0,Other,"Combines architecture with robotics, with bespoke products for living spaces."
Robotics,Green Robot Machinery,http://www.grobomac.com,2014,Bengaluru,5,No reviews yet,0,Seed,"Maker of a robot platform for harvesting crops, currently focused on a cotton-picking robot."
Transport,Netradyne,https://www.netradyne.com,2015," Bengaluru, San Diego, US",47,5,16,Series A,Provides a deep learning-based computer vision solution to improve automotive safety
Transport,Locus.sh,https://locus.sh,2015,Bangalore,44,No Ratings Yet,2.75,Series A,"Logistics automation platform with in-built route planning, vehicle allocation and 3D packing technology solutions."
Transport,LightMetrics,http://www.lightmetrics.co,2015,Bengaluru,4,No ratings yet,0.04,Seed,Uses computer vision and machine learning for driver monitoring
HealthTech,Sigtuple,http://www.sigtuple.com,2015,Bengaluru,30,5,5.8,Series A,Healthcare diagnostics using machine learning.
Development,Julia Computing,http://www.juliacomputing.com/,2015," Boston, NY, Bengaluru",19,No reviews yet,6.1,Seed,"The programming language that’s used in self-driving cars, precision medicine, medical diagnosis and more."
E-Commerce / Retail,Staqu,http://www.staqu.com/,2015,Gurgaon,20,5,0,Seed,"Provides automation technologies such as visual search and recommendation, meta-tags generation, for e-commerce companies."
Marketing Tech,Artifacia,http://artifacia.com/,2015,Bangalore,10,No reviews yet,0,Angel,Helps online brands turn their Instagram content into engaging shoppable galleries.
Speech/Language Technologies,Indiantts,http://indiantts.com,2015,Ahmedabad,20,No reviews yet,0,NA,Provides text to speech engine solutions for Indian languages.
Speech/Language Technologies,Liv.ai,https://liv.ai,2015,Bengaluru,13,5,0,NA,Provides speech API to convert speech-to-text in nine major Indian languages.
Chatbots,Niki.ai,http://niki.ai,2015,Bengaluru,47,3.5,2.4,Series A,"A chatbot that lets users search, discover, choose, make payments."
Analytics,Turing Analytics,https://www.turingiq.com/,2015,Bengaluru,4,No reviews yet,0,NA,Provides customer review analytics and visual search products.
Analytics,Cuddle.ai,http://www.cuddle.ai,2015," Jersey City, NJ, Mumbai",19,No reviews yet,0,NA,Offers a personal analyst that delivers relevant business insights in the form of byte-sized cards on your smartphone.
Computer Vision,Stomatobot,https://stomatobot.com,2015,Pune,4,No reviews yet,0,Other,Uses computer vision and ML to enhance video surveillance
Energy,Quenext,http://www.quenext.com/,2015,Mumbai,2,No reviews yet,0,Other,"An AI lab with a focus on energy, agriculture & water management."
EdTech,VideoKen,https://videoken.com/,2016,Bengaluru,12,No ratings yet,1,Seed,"A video-based social learning platform that uses big data analytics, machine learning and AI."
HealthTech,Predible Health,http://www.prediblehealth.com,2016,Bengaluru,10,No ratings yet,0,NA,Building AI-powered products for cancer radiologists.
HealthTech,Elth.ai,http://elth.ai/,2016,Bengaluru,3,No reviews yet,0.038,Seed,"Made by (HCFAB Health Technologies Pvt Ltd), this chat-based personal assistant answers medical/health-related queries."
HealthTech,iNICU,http://inicucloud.com/,2016,New Delhi,12,No reviews yet,0,NA,"Uses IoT, artificial intelligence and predictive analytics in neonatal care."
